Date,Symbol,Open,High,Low,Close,Volume
2024-01-01,AAPL,185.34,187.22,184.21,186.95,25678900
2024-01-02,AAPL,186.54,188.45,185.78,187.82,28945600
2024-01-03,AAPL,187.82,189.56,186.90,188.23,30123400
2024-01-01,GOOGL,138.45,140.32,137.89,139.78,15678300
2024-01-02,GOOGL,139.78,141.23,139.12,140.56,17834500
2024-01-03,GOOGL,140.56,142.67,140.12,142.34,19234600
2024-01-01,MSFT,372.65,375.23,371.45,374.67,12567800
2024-01-02,MSFT,374.67,377.89,373.56,376.45,14523900
2024-01-03,MSFT,376.45,378.90,375.67,377.89,16234500
2024-01-04,AAPL,188.23,190.45,187.89,189.67,29876500
